日期,场内收盘价(CNY),收盘估算净值(CNY),A股收盘溢价率(%),次日5点估算净值(CNY),最新基金净值(CNY),Historical NAV(USD),净值溢价率(%),估算误差(%),更新时间
2026-03-23,0.931,0.9357,-0.50,,,,,,2026-03-23 16:02:45
2026-03-21,,,,0.9507,,,,,2026-03-21 05:36:56
2026-03-20,0.966,0.9596,0.67,0.9623,,,,,2026-03-20 15:45:33
2026-03-19,0.963,0.9706,-0.78,0.9639,0.9594,0.9200,0.38,0.47,2026-03-23 16:02:45
2026-03-18,0.982,0.9875,-0.56,0.9805,0.9772,0.9410,0.49,0.34,2026-03-20 15:45:33
2026-03-17,0.969,0.9785,-0.97,0.9823,0.9760,0.9380,-0.72,0.65,2026-03-19 15:46:51
2026-03-16,0.964,0.9581,0.62,0.9693,0.9659,0.9260,-0.20,0.35,2026-03-18 15:52:10
2026-03-15,,,,0.9644,,,,,2026-03-15 21:23:27
2026-03-13,,,,,0.9662,0.9270,,,2026-03-17 20:32:46
2026-03-12,,,,,0.9885,0.9520,,,2026-03-16 21:35:09
